baseID,geneID,gene.name
G000202,HVAEP1.G000202,HVAEP1-G000202
G000203,HVAEP1.G000203,HVAEP1-G000203
G000204,HVAEP1.G000204,HVAEP1-G000204
G000205,HVAEP1.G000205,HVAEP1-G000205
G000206,HVAEP1.G000206,HVAEP1-G000206
G000207,HVAEP1.G000207,HVAEP1-G000207
G000208,HVAEP1.G000208,HVAEP1-G000208
G000209,HVAEP1.G000209,HVAEP1-G000209
G000210,HVAEP1.G000210,HVAEP1-G000210
G000211,HVAEP1.G000211,HVAEP1-G000211
G000212,HVAEP1.G000212,HVAEP1-G000212
G000213,HVAEP1.G000213,HVAEP1-G000213
G000214,HVAEP1.G000214,HVAEP1-G000214
G000215,HVAEP1.G000215,HVAEP1-G000215
G000216,HVAEP1.G000216,HVAEP1-G000216
G000217,HVAEP1.G000217,HVAEP1-G000217
G000218,HVAEP1.G000218,HVAEP1-G000218
G000219,HVAEP1.G000219,HVAEP1-G000219
G000220,HVAEP1.G000220,HVAEP1-G000220
G000221,HVAEP1.G000221,HVAEP1-G000221
G000222,HVAEP1.G000222,HVAEP1-G000222
G000223,HVAEP1.G000223,HVAEP1-G000223
G000224,HVAEP1.G000224,HVAEP1-G000224
G000225,HVAEP1.G000225,HVAEP1-G000225
G000226,HVAEP1.G000226,HVAEP1-G000226
G000227,HVAEP1.G000227,HVAEP1-G000227
G000228,HVAEP1.G000228,HVAEP1-G000228
G000229,HVAEP1.G000229,HVAEP1-G000229
G000230,HVAEP1.G000230,HVAEP1-G000230
G000231,HVAEP1.G000231,HVAEP1-G000231
G000232,HVAEP1.G000232,HVAEP1-G000232
G000233,HVAEP1.G000233,HVAEP1-G000233
G000234,HVAEP1.G000234,HVAEP1-G000234
G000235,HVAEP1.G000235,HVAEP1-G000235
G000236,HVAEP1.G000236,HVAEP1-G000236
G000237,HVAEP1.G000237,HVAEP1-G000237
G000238,HVAEP1.G000238,HVAEP1-G000238
G000239,HVAEP1.G000239,HVAEP1-G000239
G000240,HVAEP1.G000240,HVAEP1-G000240
G000241,HVAEP1.G000241,HVAEP1-G000241
G000242,HVAEP1.G000242,HVAEP1-G000242
G000243,HVAEP1.G000243,HVAEP1-G000243
G000244,HVAEP1.G000244,HVAEP1-G000244
G000245,HVAEP1.G000245,HVAEP1-G000245
G000246,HVAEP1.G000246,HVAEP1-G000246
G000247,HVAEP1.G000247,HVAEP1-G000247
G000248,HVAEP1.G000248,HVAEP1-G000248
G000249,HVAEP1.G000249,HVAEP1-G000249
G000250,HVAEP1.G000250,HVAEP1-G000250
G000251,HVAEP1.G000251,HVAEP1-G000251
G000252,HVAEP1.G000252,HVAEP1-G000252
G000253,HVAEP1.G000253,HVAEP1-G000253
G000254,HVAEP1.G000254,HVAEP1-G000254
G000255,HVAEP1.G000255,HVAEP1-G000255
G000256,HVAEP1.G000256,HVAEP1-G000256
G000257,HVAEP1.G000257,HVAEP1-G000257
G000258,HVAEP1.G000258,HVAEP1-G000258
G000259,HVAEP1.G000259,HVAEP1-G000259
G000260,HVAEP1.G000260,HVAEP1-G000260
G000261,HVAEP1.G000261,HVAEP1-G000261
G000262,HVAEP1.G000262,HVAEP1-G000262
G000263,HVAEP1.G000263,HVAEP1-G000263
G000264,HVAEP1.G000264,HVAEP1-G000264
G000265,HVAEP1.G000265,HVAEP1-G000265
G000266,HVAEP1.G000266,HVAEP1-G000266
G000267,HVAEP1.G000267,HVAEP1-G000267
G000268,HVAEP1.G000268,HVAEP1-G000268
G000269,HVAEP1.G000269,HVAEP1-G000269
G000270,HVAEP1.G000270,HVAEP1-G000270
G000271,HVAEP1.G000271,HVAEP1-G000271
G000272,HVAEP1.G000272,HVAEP1-G000272
G000273,HVAEP1.G000273,HVAEP1-G000273
G000274,HVAEP1.G000274,HVAEP1-G000274
G000275,HVAEP1.G000275,HVAEP1-G000275
G000276,HVAEP1.G000276,HVAEP1-G000276
G000277,HVAEP1.G000277,HVAEP1-G000277
G000278,HVAEP1.G000278,HVAEP1-G000278
G000279,HVAEP1.G000279,HVAEP1-G000279
G000280,HVAEP1.G000280,HVAEP1-G000280
G000281,HVAEP1.G000281,HVAEP1-G000281
G000282,HVAEP1.G000282,HVAEP1-G000282
G000283,HVAEP1.G000283,HVAEP1-G000283
G000284,HVAEP1.G000284,HVAEP1-G000284
G000285,HVAEP1.G000285,HVAEP1-G000285
G000286,HVAEP1.G000286,HVAEP1-G000286
G000287,HVAEP1.G000287,HVAEP1-G000287
G000288,HVAEP1.G000288,HVAEP1-G000288
G000289,HVAEP1.G000289,HVAEP1-G000289
G000290,HVAEP1.G000290,HVAEP1-G000290
G000291,HVAEP1.G000291,HVAEP1-G000291
G000292,HVAEP1.G000292,HVAEP1-G000292
G000293,HVAEP1.G000293,HVAEP1-G000293
G000294,HVAEP1.G000294,HVAEP1-G000294
G000295,HVAEP1.G000295,HVAEP1-G000295
G000296,HVAEP1.G000296,HVAEP1-G000296
G000297,HVAEP1.G000297,HVAEP1-G000297
G000298,HVAEP1.G000298,HVAEP1-G000298
G000299,HVAEP1.G000299,HVAEP1-G000299
G000300,HVAEP1.G000300,HVAEP1-G000300
G000301,HVAEP1.G000301,HVAEP1-G000301
G000302,HVAEP1.G000302,HVAEP1-G000302
G000303,HVAEP1.G000303,HVAEP1-G000303
G000304,HVAEP1.G000304,HVAEP1-G000304
G000305,HVAEP1.G000305,HVAEP1-G000305
G000306,HVAEP1.G000306,HVAEP1-G000306
G000307,HVAEP1.G000307,HVAEP1-G000307
G000308,HVAEP1.G000308,HVAEP1-G000308
G000309,HVAEP1.G000309,HVAEP1-G000309
G000310,HVAEP1.G000310,HVAEP1-G000310
G000311,HVAEP1.G000311,HVAEP1-G000311
G000312,HVAEP1.G000312,HVAEP1-G000312
G000313,HVAEP1.G000313,HVAEP1-G000313
G000314,HVAEP1.G000314,HVAEP1-G000314
G000315,HVAEP1.G000315,HVAEP1-G000315
G000316,HVAEP1.G000316,HVAEP1-G000316
G000317,HVAEP1.G000317,HVAEP1-G000317
G000318,HVAEP1.G000318,HVAEP1-G000318
G000319,HVAEP1.G000319,HVAEP1-G000319
G000320,HVAEP1.G000320,HVAEP1-G000320
G000321,HVAEP1.G000321,HVAEP1-G000321
G000322,HVAEP1.G000322,HVAEP1-G000322
G000323,HVAEP1.G000323,HVAEP1-G000323
G000324,HVAEP1.G000324,HVAEP1-G000324
G000325,HVAEP1.G000325,HVAEP1-G000325
G000326,HVAEP1.G000326,HVAEP1-G000326
G000327,HVAEP1.G000327,HVAEP1-G000327
G000328,HVAEP1.G000328,HVAEP1-G000328
G000329,HVAEP1.G000329,HVAEP1-G000329
G000330,HVAEP1.G000330,HVAEP1-G000330
G000331,HVAEP1.G000331,HVAEP1-G000331
G000332,HVAEP1.G000332,HVAEP1-G000332
G000333,HVAEP1.G000333,HVAEP1-G000333
G000334,HVAEP1.G000334,HVAEP1-G000334
G000335,HVAEP1.G000335,HVAEP1-G000335
G000336,HVAEP1.G000336,HVAEP1-G000336
G000337,HVAEP1.G000337,HVAEP1-G000337
G000338,HVAEP1.G000338,HVAEP1-G000338
G000339,HVAEP1.G000339,HVAEP1-G000339
G000340,HVAEP1.G000340,HVAEP1-G000340
G000341,HVAEP1.G000341,HVAEP1-G000341
G000342,HVAEP1.G000342,HVAEP1-G000342
G000343,HVAEP1.G000343,HVAEP1-G000343
G000344,HVAEP1.G000344,HVAEP1-G000344
G000345,HVAEP1.G000345,HVAEP1-G000345
G000346,HVAEP1.G000346,HVAEP1-G000346
G000347,HVAEP1.G000347,HVAEP1-G000347
G000348,HVAEP1.G000348,HVAEP1-G000348
G000349,HVAEP1.G000349,HVAEP1-G000349
G000350,HVAEP1.G000350,HVAEP1-G000350
G000351,HVAEP1.G000351,HVAEP1-G000351
G000352,HVAEP1.G000352,HVAEP1-G000352
G000353,HVAEP1.G000353,HVAEP1-G000353
G000354,HVAEP1.G000354,HVAEP1-G000354
G000355,HVAEP1.G000355,HVAEP1-G000355
G000356,HVAEP1.G000356,HVAEP1-G000356
G000357,HVAEP1.G000357,HVAEP1-G000357
G000358,HVAEP1.G000358,HVAEP1-G000358
G000359,HVAEP1.G000359,HVAEP1-G000359
G000360,HVAEP1.G000360,HVAEP1-G000360
G000361,HVAEP1.G000361,HVAEP1-G000361
G000362,HVAEP1.G000362,HVAEP1-G000362
G000363,HVAEP1.G000363,HVAEP1-G000363
G000364,HVAEP1.G000364,HVAEP1-G000364
G000365,HVAEP1.G000365,HVAEP1-G000365
G000366,HVAEP1.G000366,HVAEP1-G000366
G000367,HVAEP1.G000367,HVAEP1-G000367
G000368,HVAEP1.G000368,HVAEP1-G000368
G000369,HVAEP1.G000369,HVAEP1-G000369
G000370,HVAEP1.G000370,HVAEP1-G000370
G000371,HVAEP1.G000371,HVAEP1-G000371
G000372,HVAEP1.G000372,HVAEP1-G000372
G000373,HVAEP1.G000373,HVAEP1-G000373
G000374,HVAEP1.G000374,HVAEP1-G000374
G000375,HVAEP1.G000375,HVAEP1-G000375
G000376,HVAEP1.G000376,HVAEP1-G000376
G000377,HVAEP1.G000377,HVAEP1-G000377
G000378,HVAEP1.G000378,HVAEP1-G000378
G000379,HVAEP1.G000379,HVAEP1-G000379
G000380,HVAEP1.G000380,HVAEP1-G000380
G000381,HVAEP1.G000381,HVAEP1-G000381
G000382,HVAEP1.G000382,HVAEP1-G000382
G000383,HVAEP1.G000383,HVAEP1-G000383
G000384,HVAEP1.G000384,HVAEP1-G000384
G000385,HVAEP1.G000385,HVAEP1-G000385
G000386,HVAEP1.G000386,HVAEP1-G000386
G000387,HVAEP1.G000387,HVAEP1-G000387
G000388,HVAEP1.G000388,HVAEP1-G000388
G000389,HVAEP1.G000389,HVAEP1-G000389
G000390,HVAEP1.G000390,HVAEP1-G000390
G000391,HVAEP1.G000391,HVAEP1-G000391
G000392,HVAEP1.G000392,HVAEP1-G000392
G000393,HVAEP1.G000393,HVAEP1-G000393
G000394,HVAEP1.G000394,HVAEP1-G000394
G000395,HVAEP1.G000395,HVAEP1-G000395
G000396,HVAEP1.G000396,HVAEP1-G000396
G000397,HVAEP1.G000397,HVAEP1-G000397
G000398,HVAEP1.G000398,HVAEP1-G000398
G000399,HVAEP1.G000399,HVAEP1-G000399
G000400,HVAEP1.G000400,HVAEP1-G000400
G000401,HVAEP1.G000401,HVAEP1-G000401
G000402,HVAEP1.G000402,HVAEP1-G000402
G000403,HVAEP1.G000403,HVAEP1-G000403
G000404,HVAEP1.G000404,HVAEP1-G000404
G000405,HVAEP1.G000405,HVAEP1-G000405
G000406,HVAEP1.G000406,HVAEP1-G000406
G000407,HVAEP1.G000407,HVAEP1-G000407
G000408,HVAEP1.G000408,HVAEP1-G000408
G000409,HVAEP1.G000409,HVAEP1-G000409
G000410,HVAEP1.G000410,HVAEP1-G000410
G000411,HVAEP1.G000411,HVAEP1-G000411
G000412,HVAEP1.G000412,HVAEP1-G000412
